Estimator,Global CATE MSE,Variant CATE MSE,MSE Improvement (%),Bias² (Global / Variant),Variance (Global / Variant),P-value (one-sided),Effect Size (Cohen's d),95% CI (Global / Variant)
Best Estimators Selection Per Seed,140908988,141635669,-0.5%,638618 / 119189,140270370 / 141516480,0.9995,0.078,"[140083361.7, 141734614.0] / [140814037.6, 142457299.8]"
DR Learner (EconML),169793138,169326935,0.3%,492746 / 413118,169300392 / 168913816,0.0603,0.013,"[166625279.5, 172960996.8] / [166272714.5, 172381155.1]"
S-Learner (Linear),140162975,142603587,-1.7%,876639 / 1427924,139286336 / 141175663,1.0000,0.302,"[139844953.6, 140480997.2] / [141650623.6, 143556550.0]"
S-Learner (RF),138918776,138850532,0.0%,1457548 / 1358775,137461227 / 137491756,0.0020**,0.080,"[138836209.7, 139001341.7] / [138783717.0, 138917346.3]"
T-Learner (RF),142941064,142270109,0.5%,734575 / 183410,142206489 / 142086699,0.0000***,0.143,"[142472663.1, 143409464.3] / [141920270.6, 142619947.4]"
X-Learner (RF),140541633,140055019,0.3%,63126 / 30061,140478507 / 140024958,0.0001***,0.147,"[140211669.9, 140871596.5] / [139811154.2, 140298884.4]"
